,condition,happy,depressed,fear,angry,calm,sounds,seeing,temperature,odors,depth,computations,thoughts,reasoning,remembering,beliefs,hungry,tired,pain,nauseated,safe,love,recognizing,communicating,guilt,disrespected,free_will,choices,self_restraint,intentions,goal,conscious,self_aware,desires,embarrassed,emo_recog,joy,morality,personality,pleasure,pride
215,chimpanzee,3,-3,3,3,3,3,3,2,3,3,-3,3,1,3,-3,3,3,3,-1,2,3,3,3,0,-3,0,2,-1,0,3,3,0,3,-3,-2,3,-3,3,3,-3
216,fish,1,-1,3,2,2,3,3,3,2,1,-3,3,1,0,-3,3,3,3,2,2,1,-2,0,-2,-3,2,-1,-2,2,-2,1,2,1,-3,-1,3,-3,1,3,1
217,beetle,-1,-1,3,2,-1,3,0,3,3,3,-3,3,1,2,-2,3,1,3,-1,3,-1,-2,3,-3,-3,3,2,-3,3,3,3,-1,2,-3,-1,0,-3,1,2,-3
218,infant,1,-3,0,-3,2,2,3,2,0,-3,-3,2,-3,-2,-3,3,3,3,-3,-1,0,1,0,-3,-3,-2,-3,-3,-3,-3,2,-3,-3,-3,-3,-2,-3,-1,2,-3
219,adult,3,3,2,3,3,2,3,2,3,3,2,3,2,2,3,3,3,3,3,3,2,2,2,2,3,3,2,2,3,2,3,3,3,3,1,2,2,3,3,3
220,elephant,3,3,3,3,3,3,3,3,3,2,1,3,3,3,0,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3
221,goat,1,1,3,1,2,3,2,3,3,-1,-3,-1,-2,-1,-3,3,3,3,-1,1,0,2,3,-2,-2,-2,-2,-2,-1,-3,-1,-2,-1,-1,1,1,-1,3,1,1
222,car,-3,-3,-3,-3,-3,-2,-3,0,-3,-3,-1,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
223,infant,3,-3,3,3,3,3,3,3,2,-3,-3,2,-3,0,-3,3,3,3,3,3,3,3,2,-3,-3,3,3,-3,2,-3,3,3,3,-3,-1,3,-3,3,3,0
224,chimpanzee,1,2,2,-1,-1,0,0,0,2,-2,1,0,-3,-1,1,3,2,3,0,1,0,1,-1,0,-2,1,1,-2,-1,-3,2,1,0,2,-3,2,-1,2,2,1
225,mouse,1,-1,1,1,0,3,3,3,2,0,-3,0,1,1,-1,3,1,3,0,1,-1,1,1,0,0,0,2,0,1,1,2,1,2,-1,0,1,-1,0,1,-1
226,fish,3,-3,3,-3,3,3,3,3,3,3,-3,0,-3,3,-3,3,3,3,3,3,3,-3,3,-3,-3,3,3,-3,3,-3,3,3,3,-3,3,-3,-3,3,3,3
227,microbe,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
228,blue jay,2,0,3,3,2,3,1,2,1,2,-1,-2,-1,0,-1,3,3,2,3,0,3,1,2,-2,-1,1,-1,0,2,1,3,1,1,-1,-2,-1,-2,1,3,-1
229,robot,-3,-3,-3,-3,-3,2,2,2,-3,3,3,-3,-1,2,-3,-3,-3,-3,-3,-3,-3,1,1,-3,-3,-3,2,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
230,bear,1,-1,3,3,2,3,3,3,3,3,-2,3,3,3,-2,3,3,3,3,3,0,2,3,-3,-2,3,3,0,3,3,3,-3,3,-3,-1,3,-3,3,3,-3
231,adult,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
232,beetle,-3,-3,3,-3,-1,3,3,3,3,0,-3,-3,-3,-3,-3,3,2,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
233,dolphin,1,0,2,0,0,2,2,2,0,2,-1,1,0,0,-2,3,2,2,2,0,1,1,1,-2,-2,1,1,1,2,1,1,1,-1,-1,2,2,-1,0,1,-2
234,frog,3,0,3,0,3,3,3,3,3,3,-3,3,0,1,-3,3,3,3,3,3,0,2,3,-3,-3,0,3,0,0,3,3,0,3,-3,0,3,-3,0,3,-3
235,microbe,-3,-3,-3,-3,-3,-2,-3,-1,-2,1,-2,-3,-1,-3,-3,-1,-3,-3,-3,-3,-3,-3,-2,-3,-3,-2,-1,-3,-3,0,1,1,-3,-3,-3,-3,-3,-2,-3,-3
236,fetus,3,-2,3,-1,3,3,2,3,1,-3,-3,3,0,0,-3,3,3,3,2,3,2,3,1,-3,-3,0,0,-3,2,1,3,1,2,-3,-3,2,-3,3,2,-3
237,adult,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
238,fish,0,-1,2,-1,1,1,2,2,-1,1,-1,-1,-2,0,-2,3,1,1,-1,1,-3,-1,-1,-2,-2,1,1,-1,0,0,-1,0,0,-2,-3,-1,-1,0,0,-1
239,computer,-3,-3,-3,-3,-3,3,3,3,3,3,3,-3,0,3,-3,-3,-3,-3,-3,-3,-3,2,3,-3,-3,-3,3,0,-3,3,-3,-3,-3,-3,0,-3,0,-3,-3,-3
240,bear,2,2,1,2,2,2,2,1,2,1,0,2,-1,2,-1,2,2,2,1,2,2,2,2,2,0,1,2,1,2,1,2,2,2,0,1,2,-1,2,2,2
241,dog,3,3,3,3,3,3,3,3,3,0,-3,3,0,2,-3,3,3,3,3,0,0,3,2,0,-3,3,2,2,2,1,3,0,3,-3,-2,3,-3,2,3,-3
242,dolphin,0,-2,0,-1,0,-1,-2,1,-2,-1,-2,0,-1,-2,0,-2,-1,0,0,0,-1,-1,1,-1,-2,0,-1,0,-1,-1,-1,-1,-1,-2,1,-2,-2,0,-1,-1
243,elephant,2,3,3,3,3,3,3,3,3,-1,1,0,-2,3,0,3,3,3,2,2,1,3,3,-2,1,2,2,1,1,-1,1,1,2,-3,0,2,0,2,3,1
244,dog,2,2,1,2,3,2,3,1,3,2,0,1,1,3,1,3,3,3,1,2,3,3,1,3,-1,-1,0,0,2,1,1,-1,2,1,0,3,-1,3,3,0
245,computer,-3,-3,-3,-3,-2,2,0,2,0,-1,3,-3,2,1,-3,-3,-3,-3,-3,-3,-3,2,2,-3,-2,-3,2,-1,-3,0,-2,0,-3,-3,0,-3,0,-2,-3,-3
246,person in a persistant vegetative state,-3,1,2,-3,-3,2,-3,0,1,-3,-3,2,-3,-3,-3,-2,-3,2,-3,-3,1,-1,-2,-3,1,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-2,1,-3,-3
247,blue jay,0,-3,3,3,0,3,3,3,2,3,-2,0,-3,3,-3,3,3,3,3,3,-3,0,-2,-3,-3,-2,3,-3,0,3,-2,0,-3,-3,0,-3,-3,0,3,-3
248,child,3,0,2,1,2,3,-1,2,2,1,-2,3,2,0,0,2,2,3,2,2,2,1,2,1,1,0,0,-1,2,0,1,1,1,2,1,1,1,3,2,2
249,goat,3,-3,3,3,3,3,3,3,3,3,-3,3,3,3,3,3,3,3,3,3,3,2,3,-3,3,3,3,3,3,3,3,3,3,-3,-3,3,3,3,3,3
250,robot,-3,-3,-3,-3,-3,0,-3,0,0,-3,0,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,0,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
251,fish,-1,-1,1,-1,-1,1,1,1,0,2,-2,-1,-1,-2,-2,1,0,1,-2,0,-1,-1,-2,-2,-2,-1,-1,-2,-1,-1,0,-1,-2,-2,-2,0,-2,-1,0,-2
252,stapler,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
253,goat,3,3,3,3,3,3,3,3,3,0,-2,2,1,3,-1,3,3,3,3,3,2,3,3,0,2,1,3,0,1,1,2,1,3,3,2,3,0,3,3,2
254,microbe,-3,-3,-3,-3,-3,0,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
255,fetus,-3,-3,-1,-3,-1,0,-3,-1,-3,-3,-3,-3,-3,-1,-3,-3,-3,0,-3,-1,-3,-2,-1,-3,-3,-3,-3,-3,-3,-3,-1,-2,-3,-3,-3,-3,-3,-3,-3,-3
256,chimpanzee,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
257,car,-3,-3,-3,-3,-3,-2,-2,1,-3,-1,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
258,elephant,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
259,dolphin,3,3,2,2,3,3,3,3,3,3,1,3,3,2,2,3,3,3,2,2,2,2,3,2,3,3,2,0,3,3,3,3,3,2,2,3,-2,3,3,2
260,computer,-3,-3,-3,-3,-3,3,0,3,-1,2,3,-3,2,3,-3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,-3,3,-3,3,3,-3,-3,-3,-3,-1,-3,-3,-3,-3,-3
261,elephant,3,3,3,3,3,3,3,3,3,3,1,3,3,3,-3,3,3,3,3,3,3,3,3,2,1,3,3,3,3,3,3,3,3,-2,0,3,0,3,3,3
262,beetle,-3,-3,1,-3,1,2,3,2,2,-2,-3,0,-2,2,-2,2,2,2,-3,1,-3,-3,2,-3,-3,2,2,-3,-2,3,2,2,-3,-3,-3,-2,-3,-2,1,-3
263,person in a persistant vegetative state,-3,-3,1,-3,-3,2,0,1,3,-1,-3,-1,-3,-2,-3,-2,2,3,1,-3,-3,0,-2,-3,-3,-3,-3,-3,-1,-3,1,-3,-3,-3,-3,-2,-3,-3,0,-3
264,bear,-3,3,2,3,3,3,3,3,3,1,-2,0,-3,1,-2,3,3,3,2,3,2,2,3,-3,3,2,2,-3,2,2,2,0,2,-2,0,0,-2,2,3,1
265,mouse,2,2,3,3,3,3,3,2,3,0,-3,1,0,2,-3,3,3,3,3,3,0,1,3,-3,-3,0,3,2,3,2,3,0,2,-3,-3,2,-3,2,3,-3
266,frog,-2,-3,1,-1,1,2,2,0,0,-1,0,0,-2,0,-3,2,2,2,-1,1,-2,0,0,-3,-2,-2,0,-2,0,-1,-2,-3,-2,-2,-2,-1,-2,-2,1,-2
267,goat,2,2,1,1,0,1,2,-1,0,0,-3,1,2,0,-3,3,1,2,2,-3,2,2,0,0,-3,0,0,-1,-1,-1,-1,-1,1,-3,-1,1,-1,2,2,1
268,infant,0,-2,0,0,0,0,0,0,0,-2,-2,0,-2,-1,0,0,0,0,0,0,0,0,-1,-2,-2,-1,-1,-2,-2,-1,0,0,0,0,0,0,-2,0,0,-1
269,blue jay,2,0,2,0,1,2,2,2,2,-1,-2,-1,-1,2,-1,3,1,2,0,3,0,2,2,-1,-1,-3,1,0,1,-1,-1,-2,-1,1,-2,1,-2,0,1,1
270,adult,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3
271,person in a persistant vegetative state,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
272,dolphin,2,2,3,2,2,3,2,2,2,2,-3,1,-3,2,-2,3,3,3,2,2,1,2,2,-3,-3,1,-3,-3,-3,-3,2,-3,1,-3,1,2,-3,3,2,-3
273,bear,-2,-2,0,1,-2,1,3,2,2,-2,-3,0,-1,-1,-3,3,2,1,1,-1,-2,0,-1,-2,-3,1,-1,-2,2,-1,-2,0,1,-3,-2,-1,-3,-1,-1,-3
274,frog,2,2,2,0,2,2,2,3,0,1,-1,2,-2,1,-2,3,3,3,2,1,1,2,3,-2,-2,1,0,-1,1,1,2,3,2,-2,-2,1,-2,2,2,0
275,fish,-2,-3,-3,-3,1,1,3,3,2,0,-3,2,-3,2,-3,3,1,3,0,-1,-3,-2,0,-3,-3,1,-3,-2,-3,-3,-3,-3,-3,-3,-3,0,-3,-1,1,-3
276,adult,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3
277,microbe,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
278,dog,1,0,1,1,1,1,2,1,3,1,-1,1,-1,1,0,1,1,2,1,1,1,1,1,1,-1,1,0,1,-1,1,1,1,2,0,1,1,1,1,1,1
279,beetle,-2,-3,1,-2,0,3,1,3,3,2,-3,-1,-2,0,-2,3,-1,2,-3,0,-2,0,1,-3,-2,1,0,-2,0,1,2,-1,2,-2,-2,-2,-2,-2,-1,-3
280,child,2,-1,3,1,1,2,2,1,2,-2,0,2,-1,2,-1,3,3,3,2,1,2,2,3,0,-1,-1,-1,-2,3,0,1,-1,1,2,0,2,2,2,2,1
281,bear,1,0,1,-1,2,1,0,1,2,-1,-1,1,2,0,0,0,1,0,0,0,0,2,1,0,0,1,2,0,2,1,1,-1,1,0,1,1,-1,2,0,1
282,stapler,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
283,chimpanzee,3,3,3,3,3,2,2,3,1,2,-2,1,1,2,2,3,3,3,3,2,2,3,1,0,3,1,1,-1,3,1,2,1,3,3,2,3,1,3,2,3
284,car,-2,-1,3,-2,3,2,-2,-1,1,1,2,-1,2,3,0,2,-1,-1,1,2,-1,-1,-1,-2,-1,2,2,1,2,-1,1,2,-1,2,-1,-1,-1,-2,-1,2
285,infant,2,-2,2,3,0,2,3,2,0,-1,-3,-1,-2,-2,-3,3,3,3,-1,1,3,3,0,-3,-2,-1,1,-3,-2,-1,-2,-2,3,-3,-2,2,-3,-1,0,1
286,dog,3,3,3,3,3,3,3,3,3,3,-1,1,-1,3,-3,3,3,3,3,3,3,3,3,1,3,-1,3,3,0,3,-1,0,3,3,3,3,3,3,3,3
287,car,-3,-3,-3,-3,-3,2,-3,1,1,2,2,-2,0,1,-2,-3,-3,-3,-3,-3,-3,1,1,-3,-3,0,1,0,0,-2,-2,1,-3,-3,-2,-3,0,-1,-3,-3
288,elephant,0,0,3,3,0,3,3,3,3,-3,-3,0,-2,3,-3,3,3,3,-2,0,1,3,3,-3,3,1,0,0,-2,0,3,1,0,-3,0,0,-3,-3,0,-3
289,computer,1,2,2,2,2,2,1,2,2,1,2,1,2,1,2,2,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,1,2,2,1,1,1,2
290,mouse,0,-3,3,-3,1,3,3,3,2,-1,-3,-2,-2,0,-3,3,1,3,-1,3,-2,-2,0,-3,-3,2,2,-3,3,-1,0,1,0,-3,-3,-1,-3,-1,1,-3
291,chimpanzee,1,-1,2,2,2,2,2,2,2,2,-2,1,0,2,-3,3,3,3,2,2,-1,2,3,0,-1,2,2,-1,-2,1,2,1,1,-2,0,0,-2,1,2,-2
292,microbe,-3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,-3,-3,-3,-3,3,3,3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3
293,microbe,-3,-2,-3,-3,-1,1,-2,-1,-2,0,-2,-2,-1,0,-3,1,-1,-1,-3,-1,-3,0,0,-3,-3,-2,0,0,1,1,-1,-2,-3,-3,-2,-3,-2,-2,-3,-2
294,computer,-3,-3,-3,-3,-3,-1,-3,-3,-3,-3,-1,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
295,child,3,3,3,3,3,3,3,3,3,0,-3,3,0,1,2,3,3,3,3,3,3,3,2,1,1,1,1,-1,3,0,3,0,3,2,0,3,-1,3,3,1
296,car,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
297,dolphin,0,-3,1,-2,0,3,3,1,0,1,-3,0,-3,0,-2,3,-1,1,0,0,-2,1,1,-3,-3,3,1,-3,1,0,0,1,1,-2,-1,1,-3,-2,1,-3
298,person in a persistant vegetative state,-2,-2,-2,-2,-1,-2,-3,-1,-1,-1,-3,-3,-3,-3,-1,-2,-2,-1,-1,-1,-1,-3,-3,-1,-1,-2,-3,-3,-2,-3,-3,-2,-2,-2,-2,-2,-3,-3,-2,-1
299,fish,-3,-3,-2,-3,0,3,2,3,-2,3,-2,-2,-1,-1,-2,3,-2,1,-2,3,-3,2,3,-3,-3,-1,-2,-3,-2,-2,0,-1,-3,-3,-2,-3,-3,1,-3,-3
300,goat,3,0,0,-1,-1,0,0,0,1,-1,-3,1,0,1,0,3,-1,1,0,2,2,-3,-3,-2,0,1,2,0,1,1,-1,1,-1,-1,-3,-1,-2,-1,3,-1
301,person in a persistant vegetative state,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
302,frog,-1,-2,-1,-2,-1,3,3,2,0,-1,-1,-2,-1,-1,-1,2,1,1,-2,-1,-2,0,-1,-2,-2,-1,-2,0,-2,-2,-2,-1,-1,-2,-1,-2,-2,-2,0,-2
303,bear,0,0,0,0,1,3,3,2,3,3,-3,0,2,3,-1,3,3,3,3,1,0,0,1,-1,0,0,3,0,2,1,1,2,1,0,0,0,-2,0,3,0
304,dog,3,3,3,2,1,3,1,2,3,2,-3,0,-2,2,-3,3,3,3,2,2,0,3,-1,0,-2,-2,0,-1,-2,-2,-1,0,-1,-1,2,3,-1,1,3,-3
305,blue jay,2,-2,2,0,-2,2,3,2,-2,-2,-3,-1,-2,-1,-3,3,2,3,2,1,-1,0,0,-2,-2,0,-1,-2,-2,-2,-2,-1,0,-2,-1,0,-2,-2,-2,-2
306,computer,-3,-3,-3,-3,-3,1,-3,-3,-3,-3,-3,-3,-3,1,-3,-3,-3,-3,-3,-3,-3,2,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
307,fetus,-2,-3,-3,-3,-3,-2,-3,2,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-3,-2,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3
308,dolphin,3,3,3,3,3,3,3,3,3,3,-3,3,-2,0,0,3,3,3,3,3,3,0,3,-3,-3,0,1,-3,3,3,0,-3,3,3,0,3,-3,3,3,3
309,microbe,-1,-3,-3,-3,-3,-3,-3,0,-3,-3,0,-3,-1,-1,-3,-3,-3,-3,-3,1,-3,0,3,-3,-3,-2,3,-3,0,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
310,blue jay,1,0,3,1,3,3,3,3,3,2,-3,-2,-2,0,-3,3,3,3,3,3,0,2,3,-1,0,3,3,3,0,3,3,-3,0,-3,1,3,-3,3,3,0
311,infant,1,-1,-1,-2,-1,2,1,1,1,-2,-3,0,-2,0,-3,1,1,2,-3,-2,-2,2,-2,-3,-3,-1,0,-2,-3,-2,-2,-1,-2,-3,-2,1,-2,-3,1,-3
312,child,2,-1,2,2,1,2,2,2,1,2,0,1,0,-1,1,2,2,2,2,2,0,2,0,0,-1,2,0,0,1,-1,2,0,2,1,-1,2,0,2,2,1
313,car,-3,-3,-3,-3,-3,1,-3,3,-3,0,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
314,stapler,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
315,stapler,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
316,frog,-1,-3,-1,-1,2,3,3,0,0,1,-3,-1,-3,-1,-3,2,2,3,-3,0,-3,-3,0,-3,-3,1,-1,-3,-1,-2,-1,-2,1,-3,-3,-1,-2,-2,1,-3
317,beetle,-2,-2,0,0,-1,0,0,1,2,0,-2,-1,-1,-2,-3,0,-1,-1,0,1,-2,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-2,-2,-2,-1,-1,-2,-2,-2,0
318,robot,-3,-3,-3,-3,-3,3,-1,1,0,0,3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,0,3,-3,-3,-3,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
319,fetus,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
320,adult,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,0,3,3,3
321,chimpanzee,3,-3,3,1,0,2,2,-2,1,-2,-2,1,0,1,-3,3,3,3,0,3,-2,3,3,-2,-1,1,2,-3,-2,-1,0,-2,-2,-2,-2,2,-3,-2,3,-3
322,mouse,1,1,2,0,1,2,2,2,2,2,0,1,1,2,-1,2,2,2,0,0,-1,1,1,-2,-2,2,2,1,2,1,2,0,1,-2,-2,0,-2,1,1,0
