condition,happy,depressed,fear,angry,calm,sounds,seeing,temperature,odors,depth,computations,thoughts,reasoning,remembering,beliefs,hungry,tired,pain,nauseated,safe,love,recognizing,communicating,guilt,disrespected,free_will,choices,self_restraint,intentions,goal,conscious,self_aware,desires,embarrassed,emo_recog,joy,morality,personality,pleasure,pride
infant,3,-3,3,3,3,3,2,3,3,-3,-3,-2,-3,-2,-3,3,3,3,3,-1,0,0,-1,-3,-3,-3,-1,-3,-3,-3,3,-3,-3,-3,-3,3,-3,-1,3,-3
person in a persistant vegetative state,1,1,1,1,-1,2,1,2,2,1,0,2,-1,1,0,1,2,2,1,0,0,1,1,-1,-1,-1,1,0,1,-1,0,1,1,0,1,1,1,1,0,0
blue jay,3,1,3,3,3,3,3,3,3,3,-1,0,-1,2,-2,3,3,3,3,3,1,0,3,-3,-2,-1,0,-1,0,2,0,-3,3,-3,-2,1,-3,0,3,0
robot,-3,-3,-3,-3,-3,3,3,3,3,3,3,3,2,3,3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,-3,3,3,-3,3,3,-3,-3,-3,-3,-3,3,-2,-3,-3
car,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
child,3,3,3,3,3,2,3,1,2,2,0,3,2,3,2,3,3,3,3,3,3,3,1,3,2,3,3,2,3,2,3,1,3,3,2,3,3,3,3,3
child,3,0,3,1,3,3,3,3,3,0,-1,3,1,2,2,3,3,3,3,3,1,3,2,1,0,1,3,-1,1,1,3,2,1,1,1,3,1,3,3,1
dog,3,2,3,2,3,3,3,3,3,1,-2,1,0,2,1,3,3,3,3,2,2,3,0,0,-2,1,1,0,3,0,2,1,3,-1,-1,3,0,2,3,-2
frog,2,1,2,1,2,3,3,3,3,-2,-3,2,0,1,-3,3,3,3,1,2,0,2,2,0,-2,2,2,1,1,1,3,1,2,-1,-1,2,0,2,2,0
child,2,0,2,-1,1,3,3,3,3,2,1,3,-1,2,1,3,-2,-2,2,2,2,3,2,-1,-2,0,3,-2,-1,-1,2,1,1,-1,1,3,-1,1,2,-1
microbe,-3,-3,-3,-3,-3,-3,-3,-1,-3,-3,-3,-3,-3,-3,-3,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
computer,-3,-3,-3,-3,-3,3,0,1,-3,0,3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,1,1,-3,-3,-3,2,0,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
blue jay,-3,-3,3,2,3,3,3,3,2,3,-3,-2,0,0,-3,3,3,3,3,-1,-3,2,2,-3,-3,0,2,-3,1,-1,-2,-3,3,-3,-3,-3,-3,-1,2,-3
adult,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
beetle,-3,-3,-3,-3,-1,0,-1,-3,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-3,1,-3,-3,-3,-3,-3,-3,-3,-2,-3
robot,-3,-3,-3,-3,-3,3,3,3,3,3,3,-3,2,3,-3,-3,-3,-3,-3,-3,-3,2,2,-3,-3,0,1,0,2,-3,-3,-2,-3,-3,-3,-3,-3,-2,-3,-3
chimpanzee,-2,-3,2,1,-1,3,3,1,0,-2,-3,-3,-3,0,-3,3,2,3,0,-1,-3,3,3,-3,-3,-3,-1,-3,-3,-3,1,-3,-3,-3,-3,-3,-3,1,-2,-3
fish,0,2,2,2,1,0,2,-1,1,0,1,0,0,1,0,1,2,2,1,1,0,1,1,1,0,-1,1,0,0,-1,0,1,0,-1,1,0,0,1,1,0
elephant,0,0,0,2,1,2,3,2,-1,-1,-3,0,-2,0,-3,3,2,2,0,0,-2,0,0,-3,-3,-2,-2,-3,-1,-3,-3,-3,-1,-3,-2,0,-3,-1,0,-2
fetus,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-2,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
stapler,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
goat,2,1,3,2,3,3,3,3,3,-2,-3,1,-2,3,-3,3,3,3,3,2,0,3,3,-3,-3,0,1,-3,-3,-2,2,-3,-2,-3,-3,2,-1,3,2,-3
dolphin,2,2,2,0,0,3,3,3,2,3,-1,2,0,2,-1,3,3,3,2,2,1,3,2,0,-2,2,2,-2,2,2,2,2,2,-2,-1,2,-1,2,2,2
bear,-2,-1,3,3,-1,3,3,3,3,1,-3,3,-1,2,-3,3,3,3,-2,-3,-1,3,1,-2,-3,-1,3,-2,-1,-3,3,3,-2,-3,-2,-1,-2,-1,2,-2
microbe,-3,-3,-3,-3,-3,-1,-2,0,-1,-2,-2,-2,-2,-1,-2,-1,-3,-1,-3,-2,-3,-3,-1,-3,-3,-1,-1,-2,-2,0,-2,-2,-1,-3,-3,-3,-3,-3,-3,-3
mouse,0,-1,3,3,3,3,3,3,3,3,-2,3,1,2,0,3,3,3,3,1,0,2,3,-3,-3,1,1,0,1,1,3,1,0,-1,1,1,-2,1,3,-3
adult,2,3,2,3,2,2,3,3,3,2,3,3,2,3,2,2,2,3,2,3,2,2,2,2,3,2,3,2,2,2,3,2,3,2,2,3,3,3,2,2
mouse,0,0,3,0,0,3,3,3,3,3,-3,0,0,1,-1,3,2,3,1,0,0,1,1,-2,-2,0,0,-2,1,0,2,0,-1,-3,-2,-1,-1,0,1,-1
infant,1,-3,2,-3,2,2,1,2,1,2,-3,0,-2,0,-3,3,3,3,1,2,2,1,1,-3,-2,1,-2,-3,-1,0,3,-2,1,-3,-2,2,-3,1,1,-2
chimpanzee,3,3,3,3,2,3,3,3,3,2,-1,3,1,3,0,3,3,3,2,2,2,3,3,0,0,2,2,-1,2,0,3,2,2,3,1,3,-1,3,2,2
infant,2,1,3,1,2,3,1,0,2,-2,-3,3,-3,-1,-3,3,3,3,2,0,-2,3,2,-3,-3,2,-2,-3,-3,-2,-1,-3,3,-2,-1,-1,-3,3,3,-3
goat,2,1,0,1,2,3,2,2,3,-1,-1,2,-1,1,0,2,2,1,1,1,1,-1,0,-1,-1,2,0,1,1,-1,2,-2,2,-1,-1,1,-1,1,1,2
person in a persistant vegetative state,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
dolphin,2,-2,2,2,2,3,3,2,1,1,-3,-1,-1,1,-1,3,2,3,-3,2,2,1,3,-2,-3,3,2,-2,1,2,2,0,1,-3,0,0,-2,1,2,-2
elephant,2,2,3,2,1,3,3,3,3,1,-1,1,1,3,0,3,2,3,1,2,2,2,3,0,0,1,3,0,2,2,2,1,2,-1,0,2,1,3,2,2
computer,-3,-3,-3,-3,-3,3,-2,-3,-3,-3,3,-3,1,1,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
fish,3,-3,3,-3,3,0,0,0,-3,0,-3,3,0,3,3,3,0,-3,-3,3,3,0,3,-3,-3,3,3,-3,3,3,3,3,3,-3,0,3,3,3,3,3
fetus,-2,-3,-3,-3,-2,-1,-3,-1,-3,-3,-3,-3,-3,-2,-3,1,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-3,-3,-3,-3,-1,-3,-3,-3,-3
blue jay,0,-3,1,1,-1,3,3,2,-2,2,-3,0,-3,0,-3,3,2,3,0,0,-2,0,1,-3,-3,-2,0,-2,0,2,0,0,0,-3,-2,-1,-3,0,0,-2
robot,-3,-3,-3,-3,-3,3,0,3,-3,0,3,-3,0,3,-3,-3,-3,-3,-3,-3,-3,-2,3,-3,-3,-3,2,-2,-3,-3,-3,-1,-3,-3,3,-3,-2,0,-3,-3
dog,2,0,0,-2,-1,3,3,2,3,-2,-3,-1,-1,-2,-2,3,2,2,0,1,1,2,0,-2,-2,0,0,-1,-1,-1,-2,1,-1,-2,0,1,-1,1,2,-1
car,-3,-3,-3,-3,-3,-2,-3,-1,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
adult,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,0,3,3
stapler,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
bear,2,-2,3,3,1,3,3,2,3,3,-2,3,1,2,0,3,3,3,2,3,1,2,3,-2,2,3,3,1,3,3,3,3,3,-3,1,2,1,2,2,1
elephant,3,3,3,3,3,3,3,3,3,3,-2,2,3,3,0,3,3,3,3,3,-2,1,2,-1,1,3,1,1,3,3,3,3,3,-1,3,3,3,3,3,3
car,-3,-2,-3,-2,-2,-3,-1,-2,-3,-2,-3,-3,-3,-1,-2,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-2,-2,-3,-2,-2,-2,-2,-3,-3,-2,-3,-3,-3
fish,0,-1,3,0,1,2,1,3,-3,2,-2,-2,-2,0,-3,3,3,2,2,1,0,0,2,-3,-2,1,0,-1,2,2,1,-1,2,-3,-2,-1,-2,-2,1,-1
chimpanzee,3,3,3,3,3,3,3,3,3,3,-2,0,0,3,-2,3,3,3,3,2,3,3,3,-1,3,1,2,1,3,3,1,0,3,-1,3,3,-1,3,3,0
dog,1,-2,1,-2,1,1,2,0,3,-2,-3,-2,-1,1,-2,1,2,2,-3,-1,2,1,1,-1,-2,0,0,1,1,0,0,-1,1,-2,-1,1,-1,0,0,-2
infant,1,0,1,1,0,3,3,3,3,2,-2,0,-2,0,-3,3,3,3,3,0,1,2,1,-3,-3,0,0,-2,-2,-2,0,0,-2,-3,-2,1,-3,-1,3,-3
beetle,-2,-2,-1,-3,-3,0,1,1,0,-1,-2,-2,-2,0,-3,1,-1,-1,-3,-3,-3,-2,-1,-3,-3,-1,0,-3,0,-1,-3,-3,-2,-3,-2,-2,-3,-1,-1,-3
dolphin,2,3,2,2,3,3,3,3,3,3,3,3,2,2,2,3,2,3,3,3,3,2,3,2,2,2,3,2,3,2,2,3,3,2,3,2,2,3,2,3
person in a persistant vegetative state,-2,2,1,-3,1,1,-3,0,0,-3,-3,1,-2,1,1,0,-2,2,-2,-1,-3,-1,-3,-3,-3,0,-3,-3,-1,-2,-2,-3,-3,-3,-3,-1,-2,2,-3,-1
microbe,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-2,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
robot,-3,-3,-3,-3,-3,3,2,2,1,2,3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,1,0,-3,-3,-3,0,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3
person in a persistant vegetative state,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
fetus,-2,-2,-2,-3,-1,0,-2,1,-3,-3,-3,-2,-3,-3,-3,2,2,3,1,0,-3,-3,-3,-3,-3,2,-2,-3,-2,-3,-1,-2,-3,-3,-3,-2,-3,-3,-2,-3
computer,-3,-3,-3,-3,-3,3,0,0,-3,0,3,-3,0,3,-3,-3,-3,-3,-3,-3,-3,0,2,-3,-3,-3,0,-3,-2,0,-3,-2,-3,-3,-2,-3,-3,-3,-3,-3
child,3,1,3,2,3,3,3,2,2,2,-1,1,-1,2,-1,3,3,3,3,3,-2,3,2,3,0,0,1,-1,0,-1,2,1,1,2,1,3,-1,2,3,1
computer,-3,-3,-3,-3,-3,3,0,3,3,-3,3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,0,1,-3,-3,-3,0,-3,-3,0,-3,-3,-3,-3,-1,-3,-3,-3,-3,-3
car,-3,-3,-3,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
goat,2,-2,3,2,1,3,3,3,3,1,-2,-2,-1,-2,-3,3,2,3,1,-1,-2,2,1,-2,-2,-3,2,-2,1,1,3,-3,2,-2,-2,-2,-3,0,2,-1
microbe,-3,-3,0,-2,-3,-1,0,1,0,-3,-3,-3,-3,-2,-3,3,1,-2,-3,-3,-3,-3,0,-3,-3,-3,-2,-3,-3,-2,-3,-3,0,-3,-3,-3,-3,-3,-3,-3
computer,-1,0,-1,0,1,0,-1,3,-2,1,1,0,0,0,0,-2,1,0,1,1,0,0,-1,-2,0,0,0,0,0,0,0,1,-1,-2,0,-1,0,1,0,-1
blue jay,0,1,2,0,0,2,0,2,0,0,1,1,0,2,-1,3,1,2,0,1,-2,1,2,-1,-1,1,2,-1,-2,1,0,0,0,-2,-1,0,0,1,0,0
dog,1,1,2,2,1,3,3,3,3,0,-3,0,-2,1,-3,3,2,3,-1,2,3,3,0,0,1,0,3,1,2,-2,3,-1,-1,0,2,3,2,1,1,-1
frog,0,-2,-1,2,2,3,0,1,1,2,-1,1,1,0,0,3,1,1,2,1,0,1,0,-1,-1,-2,2,0,0,0,0,1,0,-1,-1,1,2,0,0,-1
elephant,3,3,3,3,2,3,3,2,2,1,-3,2,-2,3,-3,3,3,3,-3,3,2,2,3,1,1,1,-3,-2,0,1,2,-1,2,-1,1,1,-3,2,3,0
mouse,2,2,2,1,2,2,1,2,2,0,2,0,1,2,-1,3,2,3,2,2,1,2,2,-1,0,0,2,2,0,3,1,1,2,-1,-1,1,-1,2,2,0
mouse,-1,1,0,1,1,0,1,1,0,2,0,0,0,0,0,0,-1,2,1,2,1,0,0,0,1,1,0,2,0,0,1,1,-1,0,1,1,1,1,0,1
fetus,2,-3,2,-3,3,3,-1,2,-3,-2,-3,-1,-3,-2,-3,2,1,2,-3,2,3,2,2,-3,-3,-3,3,-3,1,1,2,-3,-2,-3,-3,2,-3,-3,-1,-3
infant,3,-3,-2,0,2,2,3,-3,0,-1,2,2,-2,-2,-3,3,2,3,-1,3,3,3,-1,-3,-3,2,-3,-3,-3,-3,3,0,2,-3,-3,3,-3,3,3,2
frog,-2,-3,3,-3,3,3,3,3,3,3,-3,0,-2,2,-3,3,3,3,3,2,-3,2,1,-3,-3,0,3,-3,3,-3,-2,-2,-1,-3,-2,-2,-3,1,3,-3
goat,0,0,0,0,0,2,1,1,1,-3,-3,-1,-2,0,-3,3,0,1,1,0,-1,1,-1,-3,-3,-1,-1,-3,1,-2,-1,-3,0,-3,-3,1,-2,-2,0,-3
beetle,-1,-2,2,-2,1,3,2,2,2,1,-3,1,-3,-1,-2,3,2,2,-1,0,-2,-2,1,-2,-2,0,-1,-2,-2,0,2,-1,1,-3,-2,-1,-2,-1,2,-2
blue jay,-3,-2,3,0,0,3,3,0,-1,1,-3,1,-3,-1,-3,3,-1,2,-3,1,-1,-2,1,-2,-3,-1,0,-3,-1,2,-2,-2,-2,-3,-3,-3,-3,-3,-1,-3
chimpanzee,1,1,1,2,1,2,2,2,2,1,1,2,0,2,-1,3,1,3,1,1,1,2,2,1,-1,1,3,0,0,-1,0,0,1,1,0,1,1,3,3,0
stapler,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
dog,3,3,3,3,3,3,3,3,3,3,-2,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
car,-3,-3,-3,-3,0,0,-3,-3,-2,-3,-2,-2,-2,-2,1,-1,-1,-2,-3,0,-3,-3,-1,-2,-2,-3,-2,-2,-3,-3,-2,-2,-2,-3,-1,-3,-3,-1,-3,-3
person in a persistant vegetative state,-3,-3,-3,-3,-3,1,-3,1,1,-3,-3,-1,-3,-1,-3,-3,-3,0,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-3,-3,-2,-3,-3
infant,3,-3,3,-2,3,3,3,3,3,1,-3,-1,-3,-3,-3,3,3,3,3,3,3,-1,-1,-3,-3,-3,-3,-3,-1,-3,3,-3,2,-3,-3,3,-3,0,3,-3
fish,-3,-3,2,-3,-3,3,-3,3,-3,3,-3,-3,-3,-3,-3,3,-3,-3,-3,3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3
infant,2,0,1,2,2,0,-1,0,3,0,-2,1,-2,2,-2,3,2,3,1,1,2,-1,-1,-1,-2,1,1,0,-1,-1,0,0,2,-1,0,2,-1,1,0,0
mouse,0,3,3,-1,3,3,3,2,1,0,-3,0,1,1,0,3,3,3,3,3,0,3,2,0,2,0,3,2,3,0,3,0,3,-2,0,3,0,1,3,1
computer,-3,-3,-3,-3,-3,-1,-3,-1,-3,-3,2,-3,-3,-1,-3,-3,-3,-3,-3,-1,-3,2,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
bear,2,2,3,2,2,3,3,3,3,3,-1,1,-1,2,-1,3,3,3,3,3,1,2,2,-3,2,3,3,1,3,3,3,2,2,-2,0,2,-1,3,3,1
chimpanzee,1,-1,1,2,2,2,3,3,2,3,-3,3,1,1,-1,3,3,3,2,1,0,2,2,-1,-2,0,1,0,0,0,1,1,-1,-1,0,2,1,3,3,0
dog,3,2,2,2,2,-1,-1,-2,1,-1,-2,2,3,1,2,3,2,-1,2,2,1,-1,2,-1,0,2,-1,2,2,1,2,1,2,-1,1,2,2,2,1,2
elephant,1,-1,2,0,-1,2,2,1,2,0,0,2,0,1,-1,2,2,2,2,1,1,1,1,0,0,1,2,0,0,1,2,0,1,-1,0,2,1,0,0,0
child,3,-3,3,2,3,2,1,-1,1,-2,-3,3,-1,1,-1,3,3,3,3,2,1,1,1,-2,1,1,-1,-1,0,1,0,0,0,1,0,3,1,3,3,1
beetle,-2,-2,0,-1,-2,1,-1,0,0,0,-3,-2,-2,-1,-3,1,1,0,-2,-1,-3,-2,0,-3,-2,-2,-1,-2,-2,-1,-2,-3,-2,-2,-3,-2,-3,-2,-1,-2
adult,2,2,2,2,2,-1,0,1,-2,1,0,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,0,2,2,2,0,3,2,1,2,-1,2,1,2
child,2,-1,3,1,0,0,2,1,-1,-1,-3,0,-2,-1,-2,0,0,2,1,2,0,1,-1,-2,-2,-2,-1,-1,2,-2,1,-3,2,-1,0,2,-2,-1,1,-1
goat,0,0,1,0,0,2,3,2,1,0,-3,-1,-2,-1,-3,2,2,2,2,0,-1,0,-1,-3,-3,-1,0,-3,-2,-3,0,0,-1,-3,-1,0,-3,-2,-1,-2
blue jay,3,3,3,3,3,3,3,3,3,3,-3,3,3,3,0,3,3,3,3,3,3,3,3,0,-3,3,3,0,3,3,3,3,3,-3,3,3,3,3,3,3
dolphin,2,0,-2,2,1,3,3,-2,-1,-1,-3,-2,-2,0,-1,3,1,3,-2,2,2,2,3,-1,-2,-3,-3,-2,-1,1,0,-2,-1,-1,1,2,-2,-1,1,-2
frog,1,2,3,3,3,3,3,3,3,3,-2,0,-1,3,-2,3,3,3,3,3,1,3,3,-2,-1,3,3,1,3,-2,3,2,3,-1,-1,2,-2,0,3,-1
frog,1,-1,3,0,3,3,3,3,3,0,-3,-1,0,0,-3,3,3,3,0,3,-1,2,0,-3,-3,0,3,-2,0,0,0,0,3,-3,0,3,0,0,3,-3
elephant,1,-2,-3,0,1,1,1,1,-2,1,0,1,1,2,1,1,0,1,0,2,3,1,-3,1,-1,2,1,1,0,3,1,3,1,0,0,1,1,2,2,0
robot,0,-2,-2,-2,-1,2,2,2,1,2,2,2,2,2,1,-1,0,-2,-2,-1,-1,2,2,0,-2,-2,2,2,2,2,1,1,-1,-2,1,-2,2,2,-1,-1
stapler,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
computer,2,0,0,1,1,1,2,0,0,0,1,0,1,1,1,2,0,1,0,1,1,1,0,1,1,1,-1,1,0,1,0,2,1,2,0,0,0,1,1,0
car,-3,-3,-3,-3,3,-3,2,3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,0,-3,-3,-3
person in a persistant vegetative state,-3,-3,-3,-3,-2,-1,-3,0,-1,-3,-3,-3,-3,-3,-2,-1,-3,-3,-3,-2,-3,-2,-3,-3,-3,-3,-3,-3,-2,-3,-2,-3,-3,-3,-3,-3,-3,-2,-3,-3
goat,3,2,3,3,3,3,3,3,3,-3,-3,3,-3,2,-3,3,3,3,3,3,3,3,3,-3,-3,2,2,-3,-3,-3,-3,2,-3,-3,2,3,-3,3,3,2
fetus,-1,-3,0,-3,-1,-1,-3,-3,-3,-3,-3,-2,-3,0,-3,-3,-1,-1,-1,1,-2,-1,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-1,-3,-2,-3,-3
